Model,Fold,Accuracy,Recall,F1-Score
ResNet50,1,0.9542225730071034,0.9441142373665554,0.9284480260674035
ResNet50,2,0.8484609313338595,0.7769483411828461,0.7803006621864788
ResNet50,3,0.9779005524861878,0.9756970665358166,0.9744926576849113
ResNeXt-50,1,0.7932123125493291,0.7259575506495438,0.7506622265473062
ResNeXt-50,2,0.8200473559589582,0.8053532799770384,0.7926720271168667
ResNeXt-50,3,0.9155485398579322,0.8943313960121962,0.8976703203496967
WideResNet-50,1,0.8910812943962115,0.8610931862538914,0.8433805435280753
WideResNet-50,2,0.8421468034727704,0.8110932316353603,0.821236376944656
WideResNet-50,3,0.840568271507498,0.8386905042522363,0.8383955260282644
MobileNetv2,1,0.9163378058405682,0.8904615268332876,0.9049600531032425
MobileNetv2,2,0.9834254143646409,0.9639373968018976,0.971888611423027
MobileNetv2,3,0.9581689029202841,0.931493961272665,0.939321613868651
